社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_v2,rank_v1
石板溪社区,0,3,13,40,80,0.1824654475571495,0.057172412486287114,0.0,3.75,162.5,500.0,52.4728600655002,927.0205278238368,0.11566938568108819,3.714973329521355,157.41531381767388,498.7522445809214,0.5685975609756098,75,66.0
四方堰社区,2,9,2,3,65,0.1575406341194584,0.02724828837686222,3.076923076923077,13.846153846153847,30.76923076923077,46.15384615384615,403.69508160889137,183.4977643676779,3.1122741877521025,12.769117775601504,31.922768837487688,47.87345262466047,0.5625,76,98.0
金家台社区,2,2,1,41,63,0.19127098485130223,0.02898464087870884,3.1746031746031744,3.1746031746031744,15.873015873015872,650.7936507936508,138.00412489975915,1449.0433114474713,3.2075655796851046,3.191768305643695,17.916639313228423,648.0967151642785,0.5625,77,63.0
长樵溪社区,1,13,1,2,51,0.19840311096743857,0.03565236277803086,1.9607843137254901,25.49019607843137,19.607843137254903,39.21568627450981,392.6808466289606,84.14589570620583,2.054005469365935,22.67569054299687,21.8372070800205,41.466299240506935,0.5624999999999999,78,79.0
桥北社区,17,20,0,0,48,0.20315657973058807,0.0327345518814396,35.41666666666667,41.66666666666667,0.0,0.0,1130.3041548883673,0.0,33.97220126605237,36.533344217629704,3.8104326342871855,2.7696124255017494,0.5609756097560976,79,58.0
大堰湾社区,0,3,14,52,91,0.299644801421075,0.04598249645279628,0.0,3.296703296703297,153.84615384615387,571.4285714285714,65.24221674392288,1435.3287683663034,0.10203515038529652,3.299776917645527,149.70151328381826,569.9643967937619,0.5594512195121951,80,72.0
金斗山社区,0,0,12,20,45,1.303813086191352,0.028542796400331034,0.0,0.0,266.6666666666667,444.4444444444444,0.0,1121.123507002589,0.2012214897109315,0.47255569485104,249.75021185830667,442.80962488668644,0.5564024390243902,81,71.0
李家湖社区,0,1,3,12,38,0.39085491909600895,0.027744556549017464,0.0,2.631578947368421,78.94736842105263,315.7894736842105,36.04310626602585,540.6465939903878,0.23615473366819517,2.746928151868178,76.42475653730577,315.42666367143886,0.541920731707317,82,61.0
常刘路社区,0,2,3,22,52,0.3396401904361982,0.020492960944744898,0.0,3.8461538461538463,57.69230769230769,423.0769230769231,97.59448648697439,1219.93108108718,0.17529145972181906,3.7826118010173784,57.26344861985275,421.85132177724256,0.538109756097561,83,120.0
白家冲社区,0,0,11,65,66,0.38796431253279223,0.0471426071932111,0.0,0.0,166.66666666666666,984.8484848484849,0.0,1612.1297595722408,0.1393717112217425,0.33739743553789664,160.33366387299694,979.9147385324262,0.5335365853658537,84,81.0
