社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_new,rank_old,Δ(old-new)
叶家坝社区,4,3,0,3,26,0.7175608205166195,0.018924103158107983,15.384615384615385,11.538461538461538,0.0,115.38461538461539,369.8986388689637,158.5279880866987,14.481280231069851,9.74870476537297,4.067685691423525,117.88573252848711,0.5743670886075949,68,99,31
环城东路社区,21,7,1,1,64,0.1302662763553754,0.034838509404036704,32.8125,10.9375,15.625,15.625,803.7083238915976,57.4077374208284,31.811597258917,10.161449709804831,16.95331217585249,17.0093446593224,0.5735759493670887,69,70,1
二马路社区,25,12,1,17,158,0.31000827542319126,0.03832594615761569,15.822784810126583,7.59493670886076,6.329113924050633,107.59493670886076,965.4034331686756,469.65572424422055,15.656718552932453,7.412667238975941,6.968913939405904,108.02110027329401,0.564873417721519,70,33,-37
金斗山社区,0,0,12,34,45,1.303813086191352,0.028542796400331034,0.0,0.0,266.6666666666667,755.5555555555555,0.0,1611.6150413162216,0.21999139289163422,0.5224769396377231,259.8641771338046,753.6994650978988,0.564873417721519,71,80,9
大堰湾社区,0,3,16,66,91,0.299644801421075,0.04598249645279628,0.0,3.296703296703297,175.82417582417582,725.2747252747253,65.24221674392288,1783.2872576672255,0.11157602198868695,3.3215496539921077,173.97994342234566,724.4320225071651,0.5537974683544304,72,41,-31
魏家湾社区,0,0,38,261,103,0.48285254079776824,0.03019607418482223,0.0,0.0,368.93203883495147,2533.980582524272,0.0,9901.949444484062,0.09886576021975971,0.24846368477444702,364.3270544187564,2529.1423010577414,0.5506329113924051,73,40,-33
解放路社区,0,5,1,19,50,0.17959038408792938,0.026392105703441495,0.0,10.0,20.0,380.0,189.45059011899937,757.8023604759975,0.1989762038932765,9.158884323804243,21.552143026638916,380.07540783839016,0.5490506329113924,74,91,17
新金岭社区,0,0,0,11,6,10.577202389360119,0.07752597945640381,0.0,0.0,0.0,1833.3333333333333,0.0,141.8879203736571,1.248599170960371,2.0216428403946205,14.757838492921126,1779.4687690989622,0.5474683544303798,75,140,65
竹涛山社区,0,1,2,10,35,0.24699574101084604,0.020691573145302136,0.0,2.857142857142857,57.14285714285714,285.7142857142857,48.32885315088004,579.9462378105605,0.2789054885449545,2.9930083076252254,57.697364634330675,286.44702747740473,0.5276898734177216,76,130,54
樵湖岭社区,10,14,0,1,64,0.14925713124354353,0.04183516626454107,15.625,21.875,0.0,15.625,573.6800434409192,23.903335143371635,15.230610465654578,19.939084168614464,1.711769025953273,17.0093446593224,0.5229430379746836,77,68,-9
肖家岗社区,14,6,0,6,70,0.23308312977059226,0.04580611019922959,20.0,8.571428571428571,0.0,85.71428571428571,436.6229726342574,130.9868917902772,19.49674091607159,8.0868958326219,1.5683450348204009,86.74720470766746,0.5229430379746834,78,53,-25
